,username,Popularity_score_norm,Reach_score_norm,degree_centrality_norm,eigenvector_centrality_norm,closeness_centrality_norm,pagerank_norm,occurrence_norm,final_score,Ranking
78,fintechfrank,0.0025247082284401102,0.0012961141087888394,0.5867768595041323,0.4871220402465717,0.39097744360902226,0.2919067579248723,0.47058823529411764,2.2311921589159454,0.5
79,CremeDeLaCrypto,6.238260531953821e-06,0.0009107520575108972,0.8016528925619834,0.4625488814155787,0.3382352941176472,0.25617049516374846,0.43137254901960786,2.2908971025966083,0.52
80,valkenburgh,0.00026928592731397926,0.0003621678056098524,0.47933884297520646,0.47119020026396546,0.35555555555555557,0.2713853869079153,0.43137254901960786,2.0094739884551744,0.42
81,AlyseKilleen,0.00011174499727514809,0.0002174657603642689,0.4958677685950413,0.3989169131051681,0.28776978417266197,0.308201756088957,0.37254901960784315,1.8636344523273107,0.29
82,NickSzabo4,0.0005928274772837547,0.0030841113027395392,0.46280991735537186,0.44244759805451916,0.3211678832116787,0.2919686956673134,0.39215686274509803,1.9142278958140042,0.32
83,bendavenport,3.4853110874460695e-05,0.00010797705010538543,0.8181818181818181,0.5198394190086535,0.37313432835820864,0.3096847961314174,0.45098039215686275,2.4719635839979404,0.59
84,mikejcasey,4.875986727984068e-05,0.0002236051408649788,0.7520661157024793,0.4696243832989936,0.3382352941176472,0.252868806669668,0.4117647058823529,2.224831670679286,0.49
85,billbarhydt,0.00027372067122384953,0.0003165119593787425,0.5041322314049587,0.42117261530532485,0.30434782608695654,0.2008123323254414,0.37254901960784315,1.803604257361127,0.26
86,bhorowitz,0.0001815343958311622,0.005817137216331987,0.16528925619834706,0.353508116543796,0.25531914893617014,0.24279309371254973,0.3137254901960784,1.3366337771991044,0.13
87,paoloardoino,0.0013811914558268163,0.0015347338373134093,0.4876033057851239,0.3851838352106202,0.28776978417266197,0.21222612995916273,0.37254901960784315,1.748248000028552,0.23
88,austinhill,1.8430763230179013e-05,0.0,0.7851239669421488,0.31117300024626465,0.2083333333333331,0.16867238315050223,0.27450980392156865,1.7478309183570473,0.22
89,DTAPCAP,0.0009650862917785183,0.0008692138622500519,0.6942148760330578,0.24566922473733738,0.16326530612244874,0.127195669848021,0.21568627450980393,1.4478656514046975,0.16
90,cburniske,0.0011609230410244038,0.0021225006913526707,0.7272727272727273,0.5706366374469554,0.4651162790697674,0.41502841420311354,0.5490196078431373,2.730357089568078,0.65
91,DavidSacks,0.007073724899040093,0.003674011174173307,0.5123966942148759,0.4639849800315763,0.3382352941176472,0.3047027311290564,0.4117647058823529,2.0418321414487224,0.45
